District,City,Town,EnergyCertificate,Floor,Parking,ConstructionYear,TotalArea,Garage,TotalRooms,NumberOfBedrooms,LivingArea,NumberOfBathrooms,Price
0,0,0,0,0.0,1.0,1997.7521777596298,114.0,1.1860649819494584,2.0,2.309241877256318,114.0,2.0,250000.0
0,1,1,1,1.0,0.0,1990.0,27.0,1.1860649819494584,2.68557624083522,2.309241877256318,27.0,1.0,9500.0
0,2,2,2,2.0,1.0,2003.0,84.0,1.1860649819494584,2.0,2.309241877256318,84.0,2.0,580000.0
0,3,3,3,3.0,0.0,1985.0,68.0,1.1860649819494584,2.0,2.309241877256318,68.0,1.0,350000.0
0,4,4,4,4.0,3.0,2018.0,421.0,1.1860649819494584,7.0,2.309241877256318,262.0,1.8961387800783436,1500000.0
0,5,5,3,0.0,0.0,1999.0,105.0,1.1860649819494584,2.0,2.309241877256318,105.0,2.0,260000.0
0,5,5,4,5.0,1.0,2022.0,98.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,595000.0
0,6,6,4,2.0,1.0,2023.0,94.0,1.1860649819494584,2.0,2.309241877256318,75.0,2.0,340000.0
0,0,0,0,1.0,1.0,1997.7521777596298,114.0,1.1860649819494584,2.0,2.309241877256318,114.0,1.8961387800783436,250000.0
0,6,7,3,5.0,0.0,2009.0,85.0,1.1860649819494584,2.0,2.309241877256318,85.0,1.0,250000.0
0,5,5,4,0.0,1.0,2022.0,94.0,1.1860649819494584,2.0,2.309241877256318,74.0,2.0,620000.0
0,5,5,4,1.0,1.0,2022.0,80.0,1.1860649819494584,1.0,2.309241877256318,66.0,2.0,595000.0
0,5,5,4,0.0,1.0,2022.0,80.0,1.1860649819494584,1.0,2.309241877256318,66.0,2.0,615000.0
0,6,8,2,6.0,0.0,1978.0,38.0,1.1860649819494584,2.68557624083522,2.309241877256318,38.0,1.0,185000.0
0,3,3,2,6.0,0.0,1982.0,38.0,1.1860649819494584,2.68557624083522,2.309241877256318,34.0,1.0,185000.0
0,6,8,3,1.0,1.0,2003.0,139.0,1.1860649819494584,2.0,2.309241877256318,139.0,2.0,495000.0
0,0,0,0,5.0,1.0,1997.7521777596298,81.0,1.1860649819494584,2.0,2.309241877256318,81.0,2.0,223000.0
0,0,0,0,5.0,1.0,1997.7521777596298,108.0,1.1860649819494584,2.0,2.309241877256318,108.0,2.0,228000.0
0,0,0,0,1.0,1.0,1997.7521777596298,115.0,1.1860649819494584,2.0,2.309241877256318,115.0,2.0,250000.0
0,3,3,2,2.0,0.0,1987.0,55.0,1.1860649819494584,1.0,2.309241877256318,50.0,1.0,159900.0
0,1,1,2,5.0,0.0,1975.0,91.0,1.1860649819494584,3.0,2.309241877256318,85.0,2.0,340000.0
0,6,8,3,5.0,0.0,2009.0,660.0,1.1860649819494584,2.68557624083522,2.309241877256318,76.0,1.0,195000.0
0,6,8,3,1.0,1.0,1994.0,72.0,1.1860649819494584,1.0,2.309241877256318,72.0,1.0,360000.0
0,1,1,1,5.0,0.0,2023.0,574.0,1.1860649819494584,2.0,2.309241877256318,86.0,2.0,335000.0
0,5,5,4,5.0,1.0,2022.0,90.0,1.1860649819494584,2.0,2.309241877256318,72.0,2.0,565000.0
0,6,6,4,1.0,1.0,2023.0,308.0,1.1860649819494584,2.0,2.309241877256318,77.0,2.0,320000.0
0,4,4,2,5.0,0.0,1980.0,90.0,1.1860649819494584,3.0,2.309241877256318,90.0,2.0,279900.0
0,7,9,3,1.0,0.0,2008.0,148.0,1.1860649819494584,1.0,2.309241877256318,42.0,1.0,147000.0
0,6,7,2,2.0,2.0,1992.0,218.0,1.1860649819494584,4.0,2.309241877256318,218.0,3.0,615000.0
0,1,1,5,1.0,1.0,1986.0,70.0,1.1860649819494584,1.0,2.309241877256318,70.0,1.0,17000.0
0,5,5,4,1.0,1.0,2022.0,97.0,1.1860649819494584,1.0,2.309241877256318,79.0,2.0,600000.0
0,8,10,3,7.0,0.0,1984.0,152.0,1.1860649819494584,3.0,2.309241877256318,152.0,2.0,340000.0
0,5,5,4,5.0,1.0,2022.0,94.0,1.1860649819494584,2.0,2.309241877256318,74.0,2.0,585000.0
0,6,6,4,0.0,1.0,2023.0,308.0,1.1860649819494584,2.0,2.309241877256318,77.0,2.0,330000.0
0,1,1,1,2.0,1.0,1974.0,41.0,1.1860649819494584,1.0,2.309241877256318,41.0,1.0,8000.0
0,5,5,4,1.0,1.0,2022.0,93.0,1.1860649819494584,2.0,2.309241877256318,74.0,2.0,615000.0
0,1,1,3,5.0,3.0,2008.0,30.0,1.1860649819494584,2.68557624083522,2.309241877256318,30.0,1.0,87500.0
0,4,4,3,4.0,1.0,2009.0,139.0,1.1860649819494584,3.0,2.309241877256318,139.0,2.0,310000.0
0,3,3,4,0.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,360000.0
0,3,3,3,6.0,3.0,2003.0,271.0,1.1860649819494584,3.0,2.309241877256318,169.0,4.0,1350000.0
0,8,10,6,0.0,0.0,2015.0,96.0,1.1860649819494584,3.0,2.309241877256318,96.0,2.0,159900.0
0,3,3,4,4.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,380000.0
0,3,3,4,2.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,360000.0
0,3,3,4,3.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,355000.0
0,6,8,3,2.0,1.0,1986.0,73.0,1.1860649819494584,2.0,2.309241877256318,65.0,1.0,330000.0
0,5,5,4,1.0,1.0,2022.0,98.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,620000.0
0,5,5,4,1.0,1.0,1997.7521777596298,94.0,1.1860649819494584,2.0,2.309241877256318,74.0,2.0,595000.0
0,1,1,1,5.0,2.0,1993.0,58.0,1.1860649819494584,1.0,2.309241877256318,58.0,1.0,14800.0
0,3,3,4,1.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,350000.0
0,6,8,1,8.0,0.0,1988.0,40.0,1.1860649819494584,2.68557624083522,2.309241877256318,40.0,1.0,8500.0
0,6,8,1,8.0,0.0,1988.0,40.0,1.1860649819494584,2.68557624083522,2.309241877256318,40.0,1.0,19000.0
0,6,11,3,5.0,0.0,1988.0,89.0,1.1860649819494584,1.0,2.309241877256318,73.0,2.0,499000.0
0,6,8,2,2.0,1.0,1988.0,134.4575496235455,1.1860649819494584,2.0,2.309241877256318,70.0,1.0,473695.0
0,5,5,4,0.0,1.0,2022.0,98.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,640000.0
0,8,10,3,5.0,0.0,2015.0,96.0,1.1860649819494584,2.0,2.309241877256318,96.0,1.0,159900.0
0,8,10,3,1.0,0.0,2015.0,96.0,1.1860649819494584,3.0,2.309241877256318,96.0,2.0,159900.0
0,9,12,3,7.0,1.0,1975.0,49.0,1.1860649819494584,1.0,2.309241877256318,48.0,1.0,209000.0
0,3,3,6,0.0,0.0,1983.0,96.0,1.1860649819494584,2.0,2.309241877256318,88.0,1.0,184000.0
0,3,3,4,1.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,355000.0
0,3,3,4,0.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,355000.0
0,3,3,4,3.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,370000.0
